--------- beginning of main
I/AwesomePlayer(  301): Could not offload audio decode, try pcm offload
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 168), timestamp 338140 us (0.34 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 512, flags: 0x00000000, timestamp: 296054 us (0.30 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 217), timestamp 361360 us (0.36 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 512, flags: 0x00000000, timestamp: 298956 us (0.30 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 201), timestamp 384580 us (0.38 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 512, flags: 0x00000000, timestamp: 301859 us (0.30 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 219), timestamp 407800 us (0.41 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 2304, flags: 0x00000000, timestamp: 314920 us (0.31 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 245), timestamp 431020 us (0.43 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 4096, flags: 0x00000000, timestamp: 338140 us (0.34 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 254), timestamp 454240 us (0.45 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 4096, flags: 0x00000000, timestamp: 361360 us (0.36 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
